Title,Description,Subject,Department 1,Department 2,Department 3,Departments,Course Number,Academic Level,Prerequisites,Locations,Course Types ,Course Name,Course ID,Last Updated ,Item Type,Path
Business & Diplomacy: East Vs.,,East Asian & Pacific Rim Stud,East Asian & Pacific Rim Stud,,,East Asian & Pacific Rim Stud,463,Undergraduate,,Main Campus; Distance Learning-On Line,,EAPRS-463,3655,2/26/2021 6:15,Item,Lists/Courses
Periodontology,"This course expands on the basic principles of periodontology introduced during the first year Dental Hygience curriculum. Students receive a sound foundation in the history and management of periodontal diseases including the etiology and pathogenesis of periodontal diseases, the systemic disease connection with periodontal disease, the role of the immune system in the disease process and the various periodontal treatment modalities available with emphasis on the dental Hygiene treatment plan.Prerequisite: Successful completion of Dental Hygiene 140. 2 semester hours ",Dental Hygiene,Dental Hygiene,,,Dental Hygiene,241,Undergraduate,    Take DHYG-140;,Main Campus,,DHYG-241,196,2/26/2021 6:15,Item,Lists/Courses
College Algebra,"An introductory college level mathematics course focusing on polynomial, rational, logarithmic and exponential functions; inequalities; systems of equations and inequalities; matrices; determinants; and solutions of higher degree polynomials. This is course is intended primarily for students in programs that require precalculus and beyond. Prerequisite: Placement Test or Math 103 ",Mathematics,Mathematics,,,Mathematics,106,Undergraduate,,Main Campus; Distance Learning-On Line,Liberal Arts Electvie; Math GE Elective,MATH-106,2647,2/26/2021 6:15,Item,Lists/Courses
Biomedical Instrumentation,,Biomedical Engineering,Electrical Engineering,,,Electrical Engineering,237,Undergraduate,,,,BMEG-237,1638,2/26/2021 6:15,Item,Lists/Courses
^Content Review for Math,,Education Mod Map,Education Mod-Map,,,Education Mod-Map,605,Graduate,,Main Campus; Distance Learning-On Line,,EDMM-605,3656,2/26/2021 6:15,Item,Lists/Courses
Dental Materials,"This course provides didactic and clinical information relating to dental materials utilized in the dental office. Content includes: terminology, basic principles, properties of materials, techniques and procedures, recognition of restorations and indications for their use. Students will also gain exposure to expanded auxiliary utilization, and the role of the Dental Hygienist in specialty practice.Prerequisit: Successful completion of all required first year Dental hygiene courses. 2 lecture hours, 1 two-hour laboratory period, 3 semester hours",Dental Hygiene,Dental Hygiene,,,Dental Hygiene,250,Undergraduate,,Main Campus,,DHYG-250,197,2/26/2021 6:15,Item,Lists/Courses
Intro to Film Appreciation,,Cinema,Cinema,,,Cinema,181,Undergraduate,,Main Campus,,CINE-181,2648,2/26/2021 6:15,Item,Lists/Courses
Dental Hygiene Practice Management,"This course is designed to enhance the ability of the student to provide optimum patient care while functioning within an interdisciplinary dental team. This is accomplished through students learning skills including communication, teamwork, business and management practices, and patient management. 3 semester hours ",Dental Hygiene,Dental Hygiene,,,Dental Hygiene,301,Undergraduate,,Main Campus; Distance Learning-On Line,,DHYG-301,198,2/26/2021 6:15,Item,Lists/Courses
Medical Genomics,"This course covers the basic biochemistry of proteins and nucleic acids and the techniques used to isolate, quantify, and characterize them. The class focuses heavily on the genomics of disease processes and the techniques used to diagnose and manage them. The course includes both laboratory exercises and review of case studies. Prerequisite: Bio 102. 3 semester hours",Biology,Biology,,,Biology,343,Undergraduate,"    TAKE BIOL-102, C or better;",Main Campus,Liberal Arts Electvie,BIOL-343,3658,2/26/2021 6:15,Item,Lists/Courses
Instructional Strats for the Health Pro,"Assessment, planning, implementation and evaluation of various instructional methodologies/strategies to facilities presentations. Fundamentals of instructional theory with practical skill applications 2 lecture hours, two-hour observation/presentation, 3 semester hours",Dental Hygiene,Dental Hygiene,,,Dental Hygiene,302,Undergraduate,,Main Campus; Distance Learning-On Line,,DHYG-302,199,2/26/2021 6:15,Item,Lists/Courses
Intro to Microprocessor,"Theory and application of microprocessors, and associated peripheral devices such as memory, ports, clocks, system design and debugging techniques, including specific design problems using existing devices. Programming aids, including assemblers and simulators. Programming problems including peripheral device service routines and arithmetic operations. Information structures for real-time data acquisition systems. Prerequisite: Computer Engineering 210 and Computer Science 102. 3 lecture hours; 1 three-hour laboratory; 3 semester hours",Electrical Engineering,Electrical Engineering,,,Electrical Engineering,286,Undergraduate,Take ELEG-210,Main Campus,Technology,ELEG-286,3659,2/26/2021 6:15,Item,Lists/Courses
Adv Clinical Concepts,"Advanced Clinical Concepts expands upon the basic knowledge and skills utilized in the dental hygiene process of care. Students are introduced to advanced clinical concepts through evidence-based practice methods. Oral medicine, advanced periodontology, pain management, current research and technologies are emphasized through the development of a patient case study.",Dental Hygiene,Dental Hygiene,,,Dental Hygiene,303,Undergraduate,,Main Campus; Distance Learning-On Line,,DHYG-303,200,2/26/2021 6:15,Item,Lists/Courses
Digital Design I,"Basic digital design principles. Boolean algebra. Combinational logic design with gates, MSI, LSI. Sequential logic design; register, counters, memory and programmable logic. Prerequisite: Mathematical sophistication. 3 semester hours",Electrical Engineering,Electrical Engineering,,,Electrical Engineering,210,Undergraduate,Take CPSC-101,Main Campus,Technology,ELEG-210,3660,2/26/2021 6:15,Item,Lists/Courses
Dental Hygiene Internship,"Direct observation and supervised teaching or field work. Interns complete this practicum in selected sites implementing the skills acquired in Dental Hygiene 302, and other Associate and Baccalaureate courses. Prerequisite: Dental Hygiene 302. By arrangement 3-6 semester hours ",Dental Hygiene,Dental Hygiene,,,Dental Hygiene,304,Undergraduate,    TAKE DHYG-302;,Main Campus; Distance Learning-On Line,,DHYG-304,201,3/4/2021 6:15,Item,Lists/Courses
Digital Signal Proc I,"Basic digital design principles. Boolean algebra. Combinational logic design with gates, MSI, LSI. Sequential logic design; register, counters, memory and programmable logic. Prerequisite: Mathematical sophistication. 3 semester hours",Electrical Engineering,Electrical Engineering,,,Electrical Engineering,343,Undergraduate,,Main Campus; Distance Learning-On Line,Technology,ELEG-343,3661,2/26/2021 6:15,Item,Lists/Courses
Dental Hygiene Independent Study,Selected independent projects conducted under the supervision of a Dental Hygiene faculty member. 1-6 semester hours ,Dental Hygiene,Dental Hygiene,,,Dental Hygiene,299,Undergraduate,,Main Campus,Independent Study,DHYG-299,202,2/26/2021 6:15,Item,Lists/Courses
Dental Hygiene Research,This course will introduce the student to the fundamentals of research design and process. This course will enable Dental Hygiene students to develop skills in the analysis of dental research findings and the evaluation of dental issues through critical analysis while focusing on the use and understanding of evidence-based research as it applies to professional and clinical practice of Dental Hygiene.,Dental Hygiene,Dental Hygiene,,,Dental Hygiene,305,Undergraduate,TAKE DHYG-302,Main Campus; Distance Learning-On Line,,DHYG-305,203,2/26/2021 6:15,Item,Lists/Courses
Digital Integrated Ckts Desn,"Several integrated circuit architectures are analyzed at the transmitter level to find key parameters by hand analysis as well as computer simulation: rise time, fall time, noise margins, logic state, hysteresis/memory, fanout, and power dissipation. Analysis includes an analysis of the major logic families: TTL,CMOS, NMOS, ECL, PECL, differential logic. 3 lecture hours, 3 semester hours",Electrical Engineering,Electrical Engineering,,,Electrical Engineering,383,Undergraduate,,Main Campus,Technology,ELEG-383,3662,2/26/2021 6:15,Item,Lists/Courses
Creating Digital Media,"from pre-production through post-production, video production technique for digital media is explored. Lectures and projects will lead students to a greater understanding of message direction, aesthetics and finessing a project through conclusion. This course is designed as an introductory primer to the creation of digital video. Instructor's permission may be required for this course.",Mass Communications,Mass Communication,,,Mass Communication,272,Undergraduate,,Main Campus,,MCOM-272,2654,2/26/2021 6:15,Item,Lists/Courses
Analog Intg Ckt Desn,"Do a complete analysis of the 741 op-amp, including bandwidth, gain analysis, slew rate, power efficiency and I/O impedances. Analyze ROM, Ram, TTL, ECL, CMOS and more modern logic structures including Fanout, noise margin, latching, contention, logic and delay response. Pre-requisite: Electrical Engineering 348 3 lecture hours, 3 semester hours",Electrical Engineering,Electrical Engineering,,,Electrical Engineering,388,Undergraduate,,Main Campus,Technology,ELEG-388,3663,2/26/2021 6:15,Item,Lists/Courses
Principles of Economics I-Macro,"Analysis of basic concepts; national income, employment, monetary and fiscal policy and economic growth. 3 semester hours",Economics,Economics,,,Economics,201,Undergraduate,,Main Campus; Riverbend,Social Science Elective; Liberal Arts Electvie,ECON-201,205,2/26/2021 6:15,Item,Lists/Courses
CAM & NC Machining,"This course applies manufacturing and various numerical controlled software for designing computer-aided manufacturing and NC machining systems, processes and algorithms. This course is heavy in implementation of various manufacturing technologies and programming of NC machines. Pre-requisites: Engineering 111, Physics 111, Mechanical Engineering 421 3 lecture hours; 3 semester hours ",Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,423,Graduate,,Main Campus,,MEEG-423,1647,2/26/2021 6:15,Item,Lists/Courses
Character Education,"Review strategies for K-12 teachers to develop positive student character through instructional and management techniques. Participants are introduced to a comprehensive model for modern character education, provided opportunities to experience character ed. activities and investigate current resources. A syllabus is available via email. In addition, a copy of the course notes must be obtained prior to class, either by downloading from Class UB Blackboard or by purchasing from the instructor:",Education Mod Map,Education Mod-Map,,,Education Mod-Map,644,Graduate,,Main Campus; Riverbend,,EDMM-644,3665,2/26/2021 6:15,Item,Lists/Courses
Principles of Economics II -Micro,"An analysis of price, output, income distribution, market structures and international trade. 3 semester hours",Economics,Economics,,,Economics,202,Undergraduate,,Main Campus; Riverbend,Social Science Elective; Liberal Arts Electvie,ECON-202,206,2/26/2021 6:15,Item,Lists/Courses
First Year Seminar,"First Year Seminar helps first-year students get the most out of their college experience. Specifically, the purposes and learning outcomes of the course are (A) to develop a love of learning, (B) to examine and practice the norms of UB's academic culture, and (C) to acquire and hone the thinking skills that lead to success in college. As a seminar, the course emphasizes guided discussion of challenging texts.",First Year Seminar,First Year Seminar,,,First Year Seminar,101,Undergraduate,,Main Campus; Riverbend,First Year Experience,FYS-101,1648,2/26/2021 6:15,Item,Lists/Courses
^Money & Banking,,Economics,Economics,,,Economics,301,Undergraduate,,Main Campus; Distance Learning-On Line,Liberal Arts Electvie,ECON-301,207,2/26/2021 6:15,Item,Lists/Courses
Intro Evolution,A course designed to provide an introduction to modern evolutionary theory and the evidence for evolution as illustrated by living organisms.,Science,Sciences,,,Sciences,C202,Undergraduate,,Main Campus,Natural Science Elective; Liberal Arts Electvie,SCI-C202,3667,2/26/2021 6:15,Item,Lists/Courses
Adv Topics,Design Fee Assessed,Art & Design,Art & Design,,,Art & Design,326K,Undergraduate,,Main Campus,,ADSN-326K,1649,2/26/2021 6:15,Item,Lists/Courses
Internship,,East Asian & Pacific Rim Stud,East Asian & Pacific Rim Stud,,,East Asian & Pacific Rim Stud,591,Graduate,,Main Campus; Distance Learning-On Line,Coop/Internship,EAPRS-591,3668,2/26/2021 6:15,Item,Lists/Courses
Business Pract & Ethics Graphic Designer,"Students learn the basics of client-designer relationships, such as how to find freelance or regular design jobs; designing basic business documents such as resumes, proposals, invoices, and letters; the basics of copyright and trademark protection; professional interactions in business and social media; and publicity and promotion of the graphic designer and the designer's work.  ",Graphic Design,Art & Design,,,Art & Design,304X,Undergraduate,,Main Campus,,GDSN-304X,2659,2/26/2021 6:15,Item,Lists/Courses
Managerial Economics,"The theoretical analysis of the behavior of the consumer and the firm. Problems of income distribution, welfare economics, and general equilibrium analysis. Prerequisites: ECON 201 and ECON 202; junior or senior status. 3 semester hours",Economics,Economics,,,Economics,311,Undergraduate,"    Take ECON-201, ECON-202, and FIN-209;",Main Campus; Distance Learning-On Line,Liberal Arts Electvie,ECON-311,210,2/26/2021 6:15,Item,Lists/Courses
Taxation of Entities,"This course concentrates on federal income taxation of Corporations, Partnerships, Subchapter S Corporations, and Gift and Estates.  It introduces students to the income tax rules and regulations pertaining to these ""taxable entities"", while enhancing an awareness of the complexities and sources of tax law",Accounting,Accounting,,,Accounting,312,Undergraduate,"    Take ACCT-300, ACCT-301.",Main Campus; Distance Learning-On Line,,ACCT-312,1651,2/26/2021 6:15,Item,Lists/Courses
Typography II- Type Design,"The history, design and execution of letter forms in both analog and digital form are covered. Projects include the development of letter forms from pen and brush to digital font design. The emphasis is on the arrangement of type in design layout and the use of letter forms in an electronic presentation environment. Prerequisite: ADSN 219.   Design Fee Assessed ",Graphic Design,Art & Design,,,Art & Design,203B,Undergraduate,,Main Campus,,GDSN-203B,2660,2/26/2021 6:15,Item,Lists/Courses
Inquiry Learning Across Discip,,Education Mod Map,Education Mod-Map,,,Education Mod-Map,687,Graduate,,Main Campus; Riverbend,,EDMM-687,3669,2/26/2021 6:15,Item,Lists/Courses
^Content Review for Social Studies,,Education Mod Map,Education Mod-Map,,,Education Mod-Map,673,Graduate,,Main Campus; Riverbend,,EDMM-673,3670,2/26/2021 6:15,Item,Lists/Courses
Elem Russian I,,Russian,Russian,,,Russian,101,Undergraduate,,Main Campus,Modern languages,RUS-101,2661,2/26/2021 6:15,Item,Lists/Courses
International Conflict and Negotiation,"This course examines theories about and sources of conflict (resource allocation and shortage, ideological, religious, and cultural disagreement, power distribution, perception of security, etc) to set the stage for conflict analysis and negotiation. In conflict analysis, the impact of cultural-linguistic systems on agreements and disagreements is examined. Culturally sensitive strategies of negotiation, conflict resolution, and mediation also are examined and practices. Students of conflict and also prepare a medium-length (20 PP. or so ) term paper. 3 semester hours",East Asian & Pacific Rim Stud,East Asian & Pacific Rim Stud,,,East Asian & Pacific Rim Stud,522,Graduate,,Main Campus; Distance Learning-On Line,,EAPRS-522,3695,2/26/2021 6:15,Item,Lists/Courses
Japanese Karate II,,Martial Arts,Martial Arts,,,Martial Arts,134X,Undergraduate,,Main Campus,,MARTS-134X,2686,2/26/2021 6:15,Item,Lists/Courses
Japanese Kobudo 3/4,,Martial Arts,Martial Arts,,,Martial Arts,144X,Undergraduate,,Main Campus,,MARTS-144X,2687,2/26/2021 6:15,Item,Lists/Courses
International Conflict and Negotiation,"This course examines theories about and sources of conflict (resource allocation and shortage, ideological, religious, and cultural disagreement, power distribution, perception of security, etc) to set the stage for conflict analysis and negotiation. In conflict analysis, the impact of cultural-linguistic systems on agreements and disagreements is examined. Culturally sensitive strategies of negotiation, conflict resolution, and mediation also are examined and practices. Students of conflict and also prepare a medium-length (20 PP. or so ) term paper. 3 semester hours",Global Communication,Global Media & Communication S,,,Global Media & Communication S,522,Graduate,,Main Campus; Distance Learning-On Line,,GMCS-522,3696,2/26/2021 6:15,Item,Lists/Courses
Martial Arts School Development,"This course will provide a comprehensive overview of Martial Arts Marital Art School Development- Enrolling, Increasing, and managing members. This course provides the students with the right tools to successfully open and manage their own Martial Art School. It will give students knowledge on how to appreciate and use the taekwondo education, teaching skill, and development of the curriculum. Leadership skills will be incorporated in the course to develop school programs and operations.   School Management will another core subject in this course. Teaching social and negotiation skills, students will able to learn how to successfully manage their school socially and financially. For example, location research is an important part of opening a Martial Arts school and this course will teach students how to find a good geographical location. Opening and managing multiple branches methods will be taught as well in order to encourage students to expand ideas and be more successful.",Martial Arts,Martial Arts,,,Martial Arts,215X,Undergraduate,,Main Campus,,MARTS-215X,2688,2/26/2021 6:15,Item,Lists/Courses
Sociopolitical Implications World Relig,"This course identifies the underlying conditions needed for the realization of a stable global economy and it highlights the ways in which terrorism impacts on the stability of markets and on investment and lending trends and on interest rates in affected regions and stages. The course also explores the ?practical ? rationale for terrorism as well as terrorism ? ideological and philosophical roots as well as  the actual historical trajectory of terrorist organization and states. Through the case study method, we will review those venues where terrorism has been diffused and attempt to understand such developments and their applications to contemporary society. 3 semester hours",Global Communication,Global Media & Communication S,,,Global Media & Communication S,528,Graduate,,Main Campus; Distance Learning-On Line,,GMCS-528,3698,2/26/2021 6:15,Item,Lists/Courses
Japanese Kubudo 1/2,,Martial Arts,Martial Arts,,,Martial Arts,143X,Undergraduate,,Main Campus,,MARTS-143X,2689,2/26/2021 6:15,Item,Lists/Courses
Tai Ji II,,Martial Arts,Martial Arts,,,Martial Arts,122X,Undergraduate,    TAKE MARTS-121 or by exam;,Main Campus,,MARTS-122X,2690,2/26/2021 6:15,Item,Lists/Courses
Sociopolitical Implications Wrld Relig,"This course identifies the underlying conditions needed for the realization of a stable global economy and it highlights the ways in which terrorism impacts on the stability of markets and on investment and lending trends and on interest rates in affected regions and stages. The course also explores the ?practical ? rationale for terrorism as well as terrorism ? ideological and philosophical roots as well as  the actual historical trajectory of terrorist organization and states. Through the case study method, we will review those venues where terrorism has been diffused and attempt to understand such developments and their applications to contemporary society. 3 semester hours",East Asian & Pacific Rim Stud,East Asian & Pacific Rim Stud,,,East Asian & Pacific Rim Stud,528,Graduate,,Main Campus; Distance Learning-On Line,,EAPRS-528,3699,2/26/2021 6:15,Item,Lists/Courses
Chiropractic Research,,Chiro Skills & Technique,Chiropractic Exam Skills,,,Chiropractic Exam Skills,107,Chiropractic,,,,CH-107,1681,2/26/2021 6:15,Item,Lists/Courses
A,,Cinema History and Theory,Cinema History & Theory,,,Cinema History & Theory,261,Undergraduate,,,,CIHT-261,1682,2/26/2021 6:15,Item,Lists/Courses
Directed Research,Opportunity for the student to pursue laboratory research under the direction of a faculty specialist. Prerequisite: Permission of the instructor and Department Chair. 1-6 semester hours* * A student may take not more than 6 semester hours of total combined credit in 398 & 399.,Biology,Biology,,,Biology,399L,Undergraduate,,Main Campus,Independent Study,BIOL-399L,241,2/26/2021 6:15,Item,Lists/Courses
Taekwondo Practicum 15,"This level of Taekwondo training focuses on the cultivation of ethical thinking. Through this course, students are expected to achieve mastery of Taekwondo form Hansoo (guiding theme ?water?), high advanced self-defense techniques No. 5 & 6, kicking technique with a focus on the Jump Triple Front kick & Jump Triple Roundhouse Kick, sparring techniques with a focus on free style offense/defense combination sparring, 3rd degree black belt level 3 Jump Triple Front kick breaking techniques and 3rd degree black belt level 2 belt Jump Triple Roundhouse kick breaking techniques. Students in this class are qualified to serve as teaching assistants. 1 semester hour",Martial Arts,Martial Arts,,,Martial Arts,325,Undergraduate,    TAKE MARTS-244 or testing;,Main Campus,,MARTS-325,2691,2/26/2021 6:15,Item,Lists/Courses
Film Technique II,,Cinema,Cinema,,,Cinema,183,Undergraduate,,,,CINE-183,1683,2/26/2021 6:15,Item,Lists/Courses
Directed Research-Readings,,Biology,Biology,,,Biology,399R,Undergraduate,,Main Campus,,BIOL-399R,242,2/26/2021 6:15,Item,Lists/Courses
Secondary Social Studies Praxis II Prep,"This course is designed for you to pass the Praxis II Social Studies: Content Knowledge exam. The course will provide you with a comprehensive overview and increase your odds of success on this standardized test: review all key content areas, learn test strategies, and implement a study plan.  This is an essential course for all secondary social studies majors.",Education Mod Map,Education Mod-Map,,,Education Mod-Map,684,Graduate,,Main Campus; Distance Learning-On Line,,EDMM-684,3701,2/26/2021 6:15,Item,Lists/Courses
Religion & Politics : Middle East,,Honors Program,Honors Curriculum,,,Honors Curriculum,374,Undergraduate,,Main Campus,Social Science Elective,HONR-374,2692,2/26/2021 6:15,Item,Lists/Courses
Philosophy and Evolution,,Honors Program,Honors Curriculum,,,Honors Curriculum,340,Undergraduate,,Main Campus,Humanities Elective; Liberal Arts Electvie,HONR-340,2693,2/26/2021 6:15,Item,Lists/Courses
Screenwriting I,,Cinema,Cinema,,,Cinema,285,Undergraduate,,,,CINE-285,1684,2/26/2021 6:15,Item,Lists/Courses
Nutritional Biochemistry,"This course will teach the basic principles of the science of human nutrition and nutritional biochemistry with an emphasis on the effects of nutrition on dental health.  The focus will be on the roles of micro- and macronutrients and the importance of proper energy balance, digestion, absorption and metabolism of these nutrients.  Correlations to dental hygiene are discussed at each class as it pertains to the weekly subject matter.  Strategies of counseling patients to improve oral health are taught throughout the course.",Nutrition,Arts & Sciences,,,Arts & Sciences,204,Undergraduate,,Main Campus; Distance Learning-On Line,,NUTR-204,3702,2/26/2021 6:15,Item,Lists/Courses
Independent Study,An opportunity to specialize in advanced projects not covered by regular course offerings. Students have individual conferences with assigned faculty members and meet several times as a group to discuss findings and common problems.,Business Administration,Business Administration,,,Business Administration,399,Undergraduate,,Main Campus,,BUAD-399,243,2/26/2021 6:15,Item,Lists/Courses
Analy of Algorithms,"A course in advanced data structures and high-level algorithms. Varied uses of recursion. Graph representations and algorithms including traversals, path finding, closure, and spanning trees. Sorting files. Weighted and balanced trees; Hashing and collision handling. Complexity and analysis of algorithms. Prerequisite: Computer Science 102 or equivalent. 3 lecture hours; 3 semester hours",Computer Science,Computer Science,,,Computer Science,502,Graduate,,Main Campus; Distance Learning-On Line,,CPSC-502,244,2/26/2021 6:15,Item,Lists/Courses
Screenwriting II,,Cinema,Cinema,,,Cinema,286,Undergraduate,,,,CINE-286,1685,2/26/2021 6:15,Item,Lists/Courses
Instruc for English Lang Learn,,Education,Education,,,Education,570,Graduate,,Main Campus; Riverbend,,EDUC-570,2694,2/26/2021 6:15,Item,Lists/Courses
Early Childhood Literacy,"Participants will learn how to assess and teach the objectives in the Reading: Foundational Skills module of the English Language Arts Common Core State Standards K-12. This  includes concepts of print, phonological awareness, word identification, spelling and fluency. ",Education,Education,,,Education,573B,Graduate,,Main Campus; Waterbury,,EDUC-573B,3703,2/26/2021 6:15,Item,Lists/Courses
Clinical Service IV,,Clinical Services,Clinical Services,,,Clinical Services,106,Chiropractic,,,,CL-106,1686,2/26/2021 6:15,Item,Lists/Courses
Found Bio-Tech Sci Mgmt,"This course covers the comprehensive scope of knowledge of major issues and technologies in the bio technology field. This includes regulatory, robotic, imaging, cybernetics, bio-informatics, genetics, ethics and related areas. Individual and team projects will be assigned. Prerequisite: Admission to graduate studies. 3 lecture hours, 3 semester hours ",Technology Management,Technology Management,,,Technology Management,535,Graduate,,Main Campus,,TCMG-535,2695,2/26/2021 6:15,Item,Lists/Courses
Survey of Technology,"The course provides an introduction into managing engineering and technology projects and surveys the history, current and emerging technologies in the areas of: Health/medicine and biotechnology; materials; energy; environment; electronics, computing and the Internet; nanotechnology, transportation; structures; transit; infrastructure; security; manufacturing, systems and processes; and aerospace.",Technology Management,Technology Management,,,Technology Management,410,Graduate,,Main Campus; Distance Learning-On Line,,TCMG-410,3704,2/26/2021 6:15,Item,Lists/Courses
Botanical Medicine III,"This course is a continuation of Botanical Medicine II and includes advanced topics in botanical medicine, including materia medica, clinical applications, and current research. Prerequisite: NBM 621. 1.5 lecture hours; 1.5 semester credits",Botanical Medicine,Botanical Medicine,,,Botanical Medicine,711,Naturopathic Medicine,Take NBM-621,Main Campus,,NBM-711,2696,2/26/2021 6:15,Item,Lists/Courses
Calculus & Analytical Geometry I,"Review of functions. Limits and continuity of functions. Composite functions. Definition of the derivative. Derivatives of algebraic and trigonometric function. Rules for differentiation; sum rule, difference rule, product rule, quotient rule, chain rule. Rolle?s Theorem and the Mean Value Theorem. Applications of the derivative; equations of motion, linear approximation of functions, error analysis, topics from geometry, maxima and minima of functions, curve sketching, related rates. Antidifferentiation and the indefinite integral. Fundamental Theorem of Calculus. Definite integrals. Integration by substitution. Applications of integration. Areas and volumes. Introduction to Derive? symbolic manipulation software. Prerequisite: ?C? or better in MATH 109 or Mathematics Placement Exam. 4 semester hours",Mathematics,Mathematics,,,Mathematics,110,Undergraduate,    TAKE MATH-109;     MINIMUM GRADE C+;,Main Campus; Riverbend,Math GE Elective; Liberal Arts Electvie; Math Eleectrical,MATH-110,246,2/26/2021 6:15,Item,Lists/Courses
Mind-Body Medicine,,Naturopathic Med Psychology,Psychology,,,Psychology,713,Naturopathic Medicine,,Main Campus,,NPS-713,2697,2/26/2021 6:15,Item,Lists/Courses
Intro Psychology,"An introduction to the field of psychology, including such topics as research methods, the brain, neuronal structure and functioning, sleep and dreaming, cognitive and social development, learning, memory, intelligence, personality, psychopathology, psychotherapy, social cognition, and social influence. This course is a prerequisite of all other psychology courses.",Psychology,Psychology,,,Psychology,103,Undergraduate,,Main Campus; Waterbury,Social Science Elective; Liberal Arts Electvie,PSYC-103,247,2/26/2021 6:15,Item,Lists/Courses
New Prod Commercialization,,Industrial Design,Industrial Design,,,Industrial Design,580,Graduate,,Main Campus,,IDDSN-580,3706,2/26/2021 6:15,Item,Lists/Courses
Clinical Services I: Student Clinic,"Students under the supervision of licensed faculty begin to administer care to patients at the UBCC Health Center. Students are introduced to the procedures and practices utilized by the health center through lectures and practical demonstrations. Students refine their skills in history taking, physical examination, radiology, technique, case management and clinical decision making. Prerequisites: all courses in semesters I- V. 2 lecture hour, 4 clinic hours, 3 semester hours",Clinical Services- Chiroprac,Clinical Services,,,Clinical Services,721,Chiropractic,,Main Campus,,CS-721,2698,2/26/2021 6:15,Item,Lists/Courses
Calc Analy Geom III,"Vectors; two and three-dimensional vector spaces, Cartesian coordinates, scalar and vector product, triple products, normal vectors and curvature, tangential vectors. Partial differentiation; functions of several variables, linear approximations, extrema of surfaces, Lagrange multipliers. Vector calculus and analytic geometry, gradient of a scalar function, divergence and curl of vector functions. Coordinate systems; spherical and cylindrical coordinates. The Jacobian of transformation. Multiple integrals in Cartesian and other coordinate systems. Areas and volumes. Stroke?s Theorem and Green?s Theorem. Prerequisite:?C?or better in MATH 112. 4 semester hours",Mathematics,Mathematics,,,Mathematics,215,Undergraduate,    TAKE MATH-112;     MINIMUM GRADE C;,Main Campus,Math GE Elective; Liberal Arts Electvie; Math Eleectrical,MATH-215,249,2/26/2021 6:15,Item,Lists/Courses
Clinical Services II,"Under supervision of licensed faculty interns administer care to patients. Each patient diagnosis and management plan is reviewed and approved by a clinic faculty member prior to the initiation of patient care. Students are assessed via evaluation by faculty. Prerequisites: all courses semesters I-VI. 25 clinic hours, 12. 5 semester hours",Clinical Services- Chiroprac,Clinical Services,,,Clinical Services,812,Chiropractic,,Main Campus,,CS-812,2699,2/26/2021 6:15,Item,Lists/Courses
Machine & Assembly Lang,,Computer Engineering,Computer Engineering,,,Computer Engineering,212,Undergraduate,,,,CPEG-212,1690,2/26/2021 6:15,Item,Lists/Courses
Compiler Design,"Introduction to compiler design. Major parts of a compiler, lexical, syntactic, and semantic analysis. Introductory language theory. Code optimization techniques. Examples of modern compilers. Prerequisite: CPSC 201, 227. 3 lecture hours; 3 semester hours",Computer Engineering,Computer Engineering,,,Computer Engineering,306,Undergraduate,,,Technology,CPEG-306,1691,2/26/2021 6:15,Item,Lists/Courses
Clinical Services III,"Interns continue to administer care to patients under the supervision and approval of licensed faculty. Interns are monitored as to their progress towards completing the qualitative and quantitative requirements as set forth by the UBCC Health Center. Assessment of an intern?s clinical competency is performed by faculty. Prerequisites: all courses semesters I-VII. 25 clinic hours, 12.5 semester hours",Clinical Services- Chiroprac,Clinical Services,,,Clinical Services,823,Chiropractic,,Main Campus,,CS-823,2700,2/26/2021 6:15,Item,Lists/Courses
Chinese Herb Clinic 1,,Chinese Herbal Clinic,Acupuncture Institute,,,Acupuncture Institute,611,Acupuncture,,Main Campus; Distance Learning-On Line,,ACC-611,3709,2/26/2021 6:15,Item,Lists/Courses
Materials Science for Engineers,,Mechanical Engineering,Mechanical Engineering,,,Mechanical Engineering,223,Undergraduate,TAKE CHEM-103;,Main Campus,,MEEG-223,251,2/26/2021 6:15,Item,Lists/Courses
Digital Desn I,,Computer Engineering,Computer Engineering,,,Computer Engineering,311,Undergraduate,,,Technology,CPEG-311,1692,2/26/2021 6:15,Item,Lists/Courses
Economics and Development,"This is an introductory course of economics from a political science perspective. Major concepts and issues in both macro and micro economics will be covered, particularly as they relate to politics. 3 semester credits ",Intl Pol Econ & Diplomacy,Intl Political Econ & Diplomac,,,Intl Political Econ & Diplomac,201,Undergraduate,,Main Campus,Social Science Elective; Liberal Arts Electvie,IPED-201,2701,2/26/2021 6:15,Item,Lists/Courses
Management/Cost Accounting,"This course provides an introduction to managerial and cost accounting used by management in conducting daily operations, planning future operations, and developing overall business strategies. The objective is to gain an understanding of the role of accounting in the management process of planning, directing, controlling, and improving the organization's objectives (goals) and to translate those objectives into a course of action. This course includes a comprehensive review of the following topics: basic managerial accounting concepts; job order cost accounting; process cost accounting; break-even point and target profit; budgeting; and standard cost variances. ",Accounting,Accounting,,,Accounting,505,Graduate,Take ACCT-500,Main Campus; Distance Learning-On Line,,ACCT-505,3710,2/26/2021 6:15,Item,Lists/Courses
