Title,Colleague Section ID ,Section Name,Course ID,Section Number,Last Updated,Description,Location ,Term,Dates,Meeting Info,Week Days,Buildings,Classrooms,Instruction Methods,Course Types,Subject ,Departments,Academic Level ,Synonym,Faculty,Capacity,Course Number,Maximum Credits,Minimum Credits,Prerequisites,Credits,CEUs,Comments,Books,Books List Price,Books List Price Total,Item Type,Path
^Grant and Contract Writing (Summer 2017 DHYG-501-DL),66636,DHYG-501-DL,2759,DL,9/14/2017 8:50,,Distance Learning-On Line,Summer 2017,5/30/2017 12:00:00 AM - 8/19/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Dental Hygiene,Dental Hygiene,Graduate,8731,C. Hempowicz,20,501,,3,,3,,,,, $-   ,Item,Lists/Sections
"^Grant Writ, Procrment & Plcy (Summer 2017 EDLD-805-DL)",66522,EDLD-805-DL,3373,DL,9/14/2017 8:50,"EDLD 805 Section A: This seminar provides the background and experience in the grant writing process for major federal and state discretionary competitions and private funding agency grants.  EDLD 805 Section B: This seminar will focus on the preparation of proposals to National Science Foundation, the United States Department of Education (USDOE)-including Office of Special Education Programs (OSEP & OSERS), The Institute of Educational Science (IES), The United States Department of Health and Human Services (USDHHS), and the Connecticut State Education Department. Private foundations and organizations will also be considered for competitions that total $100,000 or more.",Distance Learning-On Line,Summer 2017,5/8/2017 12:00:00 AM - 6/30/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Educational Leadership,Educational Leadership,Graduate,8621,I. Badara,20,805,,3,,3,,,,, $-   ,Item,Lists/Sections
^Health Assessment (Spring 2021 NURS-302-DL1),86473,NURS-302-DL1,4150,DL1,2/26/2021 6:15,"The focus of this course is to provide the essential elements of health assessment relevant to the role of the BSN graduate.  Skills and tools for holistic health assessment are provided that facilitate the implementation of safe, quality nursing care across the lifespan.",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 3/13/2021 12:00:00 AM,,,On-Line,ONLN,Online,Global Learning ,Nursing,Nursing,Undergraduate,6142,S. Turner,20,302,,3,,3,,,,, $-   ,Item,Lists/Sections
^Health Care Org & Admin (Fall 2016 HLAD-332-IDDL1),62065,HLAD-332-IDDL1,3938,IDDL1,10/17/2016 6:15,,Distance Learning-On Line,Fall 2016,8/22/2016 12:00:00 AM - 10/15/2016 12:00:00 AM,,,On-Line,ONLN,Online,IDEAL Course Sections,Healthcare Administration,Professional Studies,Undergraduate,4343,K. Rodvill,18,332,,3,    TAKE PRST-210;,3,,,,, $-   ,Item,Lists/Sections
^Health Care Strategic Mgt (Fall 2016 HLAD-335-IDDL2),62559,HLAD-335-IDDL2,3941,IDDL2,10/3/2016 10:00,,Distance Learning-On Line,Fall 2016,10/17/2016 12:00:00 AM - 12/10/2016 12:00:00 AM,,,On-Line,ONLN,Online,IDEAL Course Sections,Healthcare Administration,Professional Studies,Undergraduate,4815,J. Geary,18,335,,3,    TAKE PRST-270;,3,,,,, $-   ,Item,Lists/Sections
^Health Psych (Spring 2017 PSYC-345-DL),63939,PSYC-345-DL,906,DL,1/26/2017 6:15,"Health psychology provides psychology's contribution to the interdisciplinary field of behavioral medicine.  The course will examine implications of the mid-body interaction for understanding the effects of stress, the seeking of medical treatment, and the promotion of healthier living.  It will also address the ways in which professionals can understand and modify behavior sources of illness, and thereby lessen peoples' suffering, increase their life expectancy, and improve their quality of life.",Distance Learning-On Line,Spring 2017,1/17/2017 12:00:00 AM - 5/5/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Psychology,Psychology,Undergraduate,6132,K. Smith,30,345,,3,    TAKE PSYC-103 Min Grade C;,3,,,,, $-   ,Item,Lists/Sections
^Healthcare Informatics (Spring 2021 HSCI-730-DL),86142,HSCI-730-DL,4315,DL,2/26/2021 6:15,"This course is designed to explore the healthcare information technology (IT) planning and management issues associated with decision making in healthcare organizations. IT provides a framework to understand the types of information systems prevalent in healthcare organizations, evaluate specific strategies related to healthcare IT investments, and understand the ramifications of health data standards and privacy concerns on information management policy. In this course, students will learn how the core competencies of healthcare informatics can be developed and applied using real-world case studies. Students will be exposed to specific concepts related to electronic medical records (EMR), health data and standards, sourcing, and IT investments in healthcare. Upon completion of the course, students should be able to explain the key information requirements for effective health information management and decision support, plan and develop the governance and oversight requirements of healthcare IT projects, understand the specification and selection process of healthcare projects, and apply these competencies to real-world problems.",Distance Learning-On Line,Spring 2021,1/4/2021 12:00:00 AM - 4/16/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Health Science,Health Sciences,Graduate,5811,I. Pino,25,730,,3,,3,,,,, $-   ,Item,Lists/Sections
^Healthcare Informatics (Summer 2021 HSCI-730-DL),89671,HSCI-730-DL,4315,DL,2/26/2021 6:15,"This course is designed to explore the healthcare information technology (IT) planning and management issues associated with decision making in healthcare organizations. IT provides a framework to understand the types of information systems prevalent in healthcare organizations, evaluate specific strategies related to healthcare IT investments, and understand the ramifications of health data standards and privacy concerns on information management policy. In this course, students will learn how the core competencies of healthcare informatics can be developed and applied using real-world case studies. Students will be exposed to specific concepts related to electronic medical records (EMR), health data and standards, sourcing, and IT investments in healthcare. Upon completion of the course, students should be able to explain the key information requirements for effective health information management and decision support, plan and develop the governance and oversight requirements of healthcare IT projects, understand the specification and selection process of healthcare projects, and apply these competencies to real-world problems.",Distance Learning-On Line,Summer 2021,5/3/2021 12:00:00 AM - 8/13/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Health Science,Health Sciences,Graduate,9270,I. Pino,25,730,,3,,3,,,,, $-   ,Item,Lists/Sections
^HIV and Epidemics (Fall 2016 SCI-C206-IDDL1),62079,SCI-C206-IDDL1,3262,IDDL1,10/7/2016 6:15,"The overall goal of this non science major course is to provide up to date, relevant and accurate information about HIV/AIDS while teaching students the basic concepts of microbiology, immunology and epidemiology. Included in the course objectives are units on various diseases particularly associated with epidemics and pandemics. Emphasis will be placed on the history, public responses and prevention associated with these diseases. The relationship between various arts and the sciences fields will be stressed. The separation of fact and fiction in the biology of the HIV virus, and recent advances in meeting the challenges of AIDS will be presented. Students will be expected to complete and participate in a community related service project in relation to helping in the prevention of various diseases. Online access will be needed to complete some assignments and perform virtual labs. The use of the Canvas course management system will be incorporated into the course. Live labs will be used to reinforce principles from class.",Distance Learning-On Line,Fall 2016,8/22/2016 12:00:00 AM - 12/3/2016 12:00:00 AM,,,On-Line,ONLN,Online,"IDEAL Course Sections, Natural Sceince Elective, Liberal Arts Electvie",Science,Sciences,Undergraduate,4357,H. Szydlo,18,C206,,3,,3,,,,, $-   ,Item,Lists/Sections
^HIV and Epidemics (Spring 2021 SCI-C206-IDDL1),86700,SCI-C206-IDDL1,3262,IDDL1,2/26/2021 6:15,"The overall goal of this non science major course is to provide up to date, relevant and accurate information about HIV/AIDS while teaching students the basic concepts of microbiology, immunology and epidemiology. Included in the course objectives are units on various diseases particularly associated with epidemics and pandemics. Emphasis will be placed on the history, public responses and prevention associated with these diseases. The relationship between various arts and the sciences fields will be stressed. The separation of fact and fiction in the biology of the HIV virus, and recent advances in meeting the challenges of AIDS will be presented. Students will be expected to complete and participate in a community related service project in relation to helping in the prevention of various diseases. Online access will be needed to complete some assignments and perform virtual labs. The use of the Canvas course management system will be incorporated into the course. Live labs will be used to reinforce principles from class.",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 5/9/2021 12:00:00 AM,,,On-Line,ONLN,Online,"Natural Science Elective, Liberal Arts Electvie, IDEAL Course Sections",Science,Sciences,Undergraduate,6369,M. Zayan,25,C206,,3,,3,,,,, $-   ,Item,Lists/Sections
^Hlth Promotion Disease Prev (Spring 2021 HSCI-850-DL),87167,HSCI-850-DL,4319,DL,2/26/2021 6:15,This course provides an overview of the major issues in health promotion and disease prevention. This course will explore the possible association between nutritional status and premature mortality and morbidity. Strategies for risk reduction and the development and implementation of interventions will be presented. Emphasis will be placed on understanding the role nutrition plays not only in health but also in disease prevention. ,Distance Learning-On Line,Spring 2021,1/4/2021 12:00:00 AM - 4/16/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Health Science,Health Sciences,Graduate,6804,A. Grazia,25,850,,3,,3,,,,, $-   ,Item,Lists/Sections
^Homeland Security & Terroris (Summer 2017 CJHS-371-DL),67069,CJHS-371-DL,3426,DL,9/12/2017 6:15,"This course introduces terrorism as a subject of sociological, legal, military, political, and strategic study.  The course considers the objectives of the terrorist and terrorist organizations, and recent counter-terrorism strategies.  The course also encourages students to think about long-term strategies to combat terrorism, both within a nation-state and across international borders.",Distance Learning-On Line,Summer 2017,5/8/2017 12:00:00 AM - 6/30/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Criminal Justice,Criminal Justice Hum Security,Undergraduate,9153,K. Akyuz,20,371,,3,,3,,,,, $-   ,Item,Lists/Sections
^Human Development (Summer 2017 EDUC-560-DL),66514,EDUC-560-DL,451,DL,9/14/2017 8:50,"This course provides an opportunity for the study of the subject matter of human development, with a concentration upon the uniqueness of the adolescent period. Theoretical models and methods of researching human growth and development including cognition, physical, social, emotional and moral development will be studied. Genetic and environmental influences of human development will be discussed. Implications for classroom instruction in the middle grades will be explored. 3 semester hours",Distance Learning-On Line,Summer 2017,5/8/2017 12:00:00 AM - 6/30/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Education,Education,Graduate,8613,E. Flynn,15,560,,3,,3,,,,, $-   ,Item,Lists/Sections
^Human Resource Management (Fall 2016 MGMT-305-IDDL1),62066,MGMT-305-IDDL1,403,IDDL1,9/26/2016 6:15,"The student is introduced to current theory, research and practice in the management of human resources in organizations. Job design, recruitment, selection, performance feedback, goal setting, training, employee rights, safety, compensation and benefits issues are reviewed within the context of their application in the US as a world standard for such practices, with comparisons to customs and practices in the international arena. Prerequisite: management 302, junior or senior status 3 semester hours ",Distance Learning-On Line,Fall 2016,8/22/2016 12:00:00 AM - 10/15/2016 12:00:00 AM,,,On-Line,ONLN,Online,IDEAL Course Sections,Management & Ind Relations,Management & Indust Relations,Undergraduate,4344,S. Pellerin,18,305,,3,,3,,,,, $-   ,Item,Lists/Sections
^Human Resource Mgmt (Spring 2021 MGMT-511-DL1),86374,MGMT-511-DL1,589,DL1,2/26/2021 6:15,"This course enables students to examine the current research findings, trends, and best practices of human resource management, as well as the strategies and tactics necessary to sustain an effective and proactive human resources function in an organization.  An understanding of topics including recruitment and selection, employment law, performance management, training and development, compensation and benefits, and employee engagement is emphasized, in both domestic and global contexts.  Students will gain insight into effectively leveraging findings from relevant research studies to address current and projected human resource management challenges and needs.",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 3/14/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Management & Ind Relations,Management & Indust Relations,Graduate,6043,C. Mullins,25,511,,3,,3,,,,, $-   ,Item,Lists/Sections
^Human Security (Summer 2017 CJHS-218-DL),66625,CJHS-218-DL,2868,DL,9/14/2017 8:50,"Human Security involves looking at world security issues from the perspective of individual people.  This course introduces students to the concept of Human Security, its importance in meeting the basic needs of people and preventing state collapse, and its usefulness, in forging greater transnational accountability.",Distance Learning-On Line,Summer 2017,5/31/2017 12:00:00 AM - 7/1/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Criminal Justice,Criminal Justice Hum Security,Undergraduate,8720,S. Hess,20,218,,3,,3,,,,, $-   ,Item,Lists/Sections
^Ind & Org Psych (Spring 2017 HONR-309-21HYB),64472,HONR-309-21HYB,4413,21HYB,2/21/2017 6:15,"Application of psychological principles to industry, business, transportation, communications, institutions, and consumer behavior. 3 semester hours",Hybrid,Spring 2017,1/17/2017 12:00:00 AM - 5/5/2017 12:00:00 AM,TH 1:30 PM - 2:45 PM,TH,Mandeville Hall,220,Hybrid,,Honors Program,Honors Curriculum,Undergraduate,6646,C. Picardi,5,309,,3,,3,,,,, $-   ,Item,Lists/Sections
^Ind & Org Psych (Spring 2021 PSYC-309-IDDL1),86648,PSYC-309-IDDL1,1202,IDDL1,2/26/2021 6:15,"Application of psychological principles to industry, business, transportation, communications, institutions, and consumer behavior. 3 semester hours ",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 3/14/2021 12:00:00 AM,,,On-Line,ONLN,Online,"Liberal Arts Electvie, IDEAL Course Sections",Psychology,Psychology,Undergraduate,6317,G. Austin,25,309,,3,    TAKE PSYC-103 minimum grade C or better;,3,,,,, $-   ,Item,Lists/Sections
^Infectious Diseases (Spring 2021 HSCI-875-DL),87172,HSCI-875-DL,4328,DL,2/26/2021 6:15,"This course provides a detailed examination of emerging and reemerging infectious disease, focusing on significant illnesses found in various regions of the world. Topics include information on the underlying mechanisms of microbial emergence, the technology used to detect them, and the strategies available to contain them.  Discussion will involve diseases and their causative agents that are major factors in the health of populations the world over. This course will provide a clear understanding of factors associated with disease emergence and re-emergence can help medical and public health professionals to identify, study, and control new and renewed epidemics and outbreaks. Epidemiological characteristics such as incubation period, infectious period, and means of transmission, the immune response, treatment, prevention and surveillance of these infectious diseases will be evaluated. Up-to-date selections from infectious disease journals as well as information from the Centers for Disease Control and Prevention, the World Health Organization, MedLine Plus, and the American Society for Microbiology will be included to insure that topics are kept current.",Distance Learning-On Line,Spring 2021,1/4/2021 12:00:00 AM - 4/16/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Health Science,Health Sciences,Graduate,6809,R. Femminella,25,875,,3,,3,,,,, $-   ,Item,Lists/Sections
^Info Systems & Knowledge Mgt (Spring 2021 ITKM-505-DL2),86252,ITKM-505-DL2,3711,DL2,2/26/2021 6:15,"The course introduces guiding theories and concepts of knowledge management and its relationship to contemporary workplaces. This course will explore various issues of creating, storing, sharing, and applying knowledge in organizational environments, which will include a review of the role and basic functions of information technology. Successful organizations foster both innovation and efficiency via knowledge. Students will evaluate the different dynamics related to realizing organizational progress through the effective and efficient use of talent, structure, culture, methods, and technology. In addition to the required textbooks, students will be required to research industry journals as a way to evaluate the application of knowledge in real settings across various industries. ",Distance Learning-On Line,Spring 2021,3/22/2021 12:00:00 AM - 5/9/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Information Tech Mgmt,Management & Indust Relations,Graduate,5921,C. Horvath,25,505,,3,,3,,,,, $-   ,Item,Lists/Sections
^Integrated Marketing Commun (Summer 2017 MKTG-319-DL),66016,MKTG-319-DL,1200,DL,9/14/2017 8:50,"his course covers various methods of integrated marketing communications, with the focus on planning and execution of IMC programs. Case studies on award-winning examples of personalized and experiential marketing. Takes the perspective of the account executive or ""client"" side of business rather than the ""creative"" side.  3 credits ",Distance Learning-On Line,Summer 2017,5/8/2017 12:00:00 AM - 6/30/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Marketing,Marketing,Undergraduate,8126,N. Wingate,20,319,,3,   Take MKTG-305;,3,,,,, $-   ,Item,Lists/Sections
^integrative/Complementary Md (Summer 2021 HSCI-855-DL),89676,HSCI-855-DL,4320,DL,3/1/2021 6:15,"This course will provide students with a working knowledge about integrative and complementary medicine and clinical applications for patient/client care and research. Federal regulations, cultural beliefs, scientific research and perceived benefits and risks will be explored. The appropriateness of integrating these therapeutic modalities into conventional medicine will also be explored.",Distance Learning-On Line,Summer 2021,5/3/2021 12:00:00 AM - 8/13/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Health Science,Health Sciences,Graduate,9275,S. Haffner,20,855,,3,,3,,,,, $-   ,Item,Lists/Sections
^International Issues (Spring 2017 MGMT-539-DL1A),64495,MGMT-539-DL1A,2309,DL1A,4/12/2017 6:15,"This course focuses on current international issues that affect business operations at home and abroad. Changing business environments are discussed and analyzed. Students are required to formulate new global business strategies in light of emerging international trends and events. In some cases, students may supplement their study by field trips and on-site analysis. ",Distance Learning-On Line,Spring 2017,1/17/2017 12:00:00 AM - 3/12/2017 12:00:00 AM,,,On-Line,ONLN,Online,Global Learning ,Management & Ind Relations,Management & Indust Relations,Graduate,6664,R. Green,20,539,,3,"MGMT-400, ACCT-400, FIN-400, ECON-400",3,,,,, $-   ,Item,Lists/Sections
^International Issues (Spring 2017 MGMT-539-DL2A),63335,MGMT-539-DL2A,2309,DL2A,12/16/2016 6:15,"This course focuses on current international issues that affect business operations at home and abroad. Changing business environments are discussed and analyzed. Students are required to formulate new global business strategies in light of emerging international trends and events. In some cases, students may supplement their study by field trips and on-site analysis. ",Distance Learning-On Line,Spring 2017,3/27/2017 12:00:00 AM - 5/21/2017 12:00:00 AM,,,On-Line,ONLN,Online,Global Learning ,Management & Ind Relations,Management & Indust Relations,Graduate,5548,R. Green,1,539,,3,"MGMT-400, ACCT-400, FIN-400, ECON-400",3,,,,, $-   ,Item,Lists/Sections
^International Issues (Spring 2021 MGMT-539-DL1),86379,MGMT-539-DL1,2309,DL1,2/26/2021 6:15,"This course focuses on current international issues that affect business operations at home and abroad. Changing business environments are discussed and analyzed. Students are required to formulate new global business strategies in light of emerging international trends and events. In some cases, students may supplement their study by field trips and on-site analysis. ",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 3/14/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Management & Ind Relations,Management & Indust Relations,Graduate,6048,R. Green,20,539,,3,Take MGMT-500,3,,,,, $-   ,Item,Lists/Sections
^Internship (Fall 2016 GLDP-591-DL2A),64516,GLDP-591-DL2A,2704,DL2A,10/13/2016 6:15,"Students will complete an eight-week crosscultural internship with international organization or overseas school, agency or company. A written report by the student and an assessment of the Student?s performance by the agency where the student interns will be submitted as the basis of evaluation. 3 semester hours",Distance Learning-On Line,Fall 2016,10/24/2016 12:00:00 AM - 12/16/2016 12:00:00 AM,,,On-Line,ONLN,Online,Coop/Internship,Global Development & Peace,Global Development and Peace,Graduate,6684,T. Ward,25,591,,3,,3,,,,, $-   ,Item,Lists/Sections
^Intro Biochem (Nutrition Fall 2016 NUTR-122-DLA),60145,NUTR-122-DLA,887,DLA,9/22/2016 13:55,"Available Summer and Fall terms The course meets for six weekend day sessions. The first two meetings reviews basic General Chemistry topics including Atomic Theory, Periodic Law, Chemical Bonding, Chemical Reactions, Kinetics, and Acid & Base Concepts. The second two meetings deals with Organic Chemistry and includes topics in Isomerism, and the Physical & Chemical Properties of the different Organic Functional Groups. The last two meetings is an introduction into Human Biochemistry concentrating on the structural and functional properties of Carbohydrates, Lipids, Proteins and Nucleotides. The roles of these biological chemicals in Nutrition and Metabolism is also discussed. (4 credits",Distance Learning-On Line,Nutrition Fall 2016,8/29/2016 12:00:00 AM - 12/9/2016 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Undergraduate,2474,V. Ducas,20,122,,4,,4,,,,, $-   ,Item,Lists/Sections
^Intro Biochem (Nutrition Summer 2017 NUTR-122-DLB),67142,NUTR-122-DLB,887,DLB,10/6/2017 6:15,"Available Summer and Fall terms The course meets for six weekend day sessions. The first two meetings reviews basic General Chemistry topics including Atomic Theory, Periodic Law, Chemical Bonding, Chemical Reactions, Kinetics, and Acid & Base Concepts. The second two meetings deals with Organic Chemistry and includes topics in Isomerism, and the Physical & Chemical Properties of the different Organic Functional Groups. The last two meetings is an introduction into Human Biochemistry concentrating on the structural and functional properties of Carbohydrates, Lipids, Proteins and Nucleotides. The roles of these biological chemicals in Nutrition and Metabolism is also discussed. (4 credits",Distance Learning-On Line,Nutrition Summer 2017,4/24/2017 12:00:00 AM - 8/4/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Undergraduate,9223,K. Swithers,20,122,,4,,4,,,,, $-   ,Item,Lists/Sections
^Intro Biochem for Clin Nutr (Spring 2021 Nutrition NUTR-560U-DL),85374,NUTR-560U-DL,4579,DL,2/26/2021 6:15,,Distance Learning-On Line,Spring 2021 Nutrition,1/4/2021 12:00:00 AM - 4/11/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Nutrition,Human Nutrition,Graduate,5043,V. Ducas,25,560U,,3,,3,,,,, $-   ,Item,Lists/Sections
^Intro Community Health (Spring 2021 HSCI-250-IDDL1),86117,HSCI-250-IDDL1,3636,IDDL1,2/26/2021 6:15,"This is an introductory course on public health principles and the current delivery systems in the US. It introduces the major areas of public health, epidemiology, health care management, environmental and social behavioral health, health informatics. Current problems and alternative solutions will also be examined. 3 semester hours",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 3/14/2021 12:00:00 AM,,,On-Line,ONLN,Online,IDEAL Course Sections,Health Science,Health Sciences,Undergraduate,5786,M. Zayan,25,250,,3,,3,,,,, $-   ,Item,Lists/Sections
^Intro Islam (Summer 2017 WREL-209-DL),66627,WREL-209-DL,1947,DL,9/14/2017 8:50,"The religion of Islam was founded roughly 1400 years ago in the Arabian Peninsula. Since that time, Islam has grown into the world's second largest religion with adherents found around the world. This course aims to investigate the historical development of Islam in terms of its beliefs and practices as well as the society and culture that has arisen with it. Ultimately, students should come to understand both the faith itself and the relationship of believers to the world in which they live today.  Students will acquire this knowledge through a series of readings and some videos. They will have the opportunity to develop critical thinking skills and show what they have learned by way of writing assignments, discussion boards, and a final project.",Distance Learning-On Line,Summer 2017,5/30/2017 12:00:00 AM - 6/30/2017 12:00:00 AM,,,On-Line,ONLN,Online,"Humanities Elective, Liberal Arts Electvie",World Religions,World Religions,Undergraduate,8722,R. Riggs,20,209,,3,,3,,,,, $-   ,Item,Lists/Sections
^Intro Psychology (Spring 2021 PSYC-103-IDDL1),86619,PSYC-103-IDDL1,247,IDDL1,2/26/2021 6:15,"An introduction to the field of psychology, including such topics as research methods, the brain, neuronal structure and functioning, sleep and dreaming, cognitive and social development, learning, memory, intelligence, personality, psychopathology, psychotherapy, social cognition, and social influence. This course is a prerequisite of all other psychology courses.",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 3/14/2021 12:00:00 AM,,,On-Line,ONLN,Online,"Social Science Elective, Liberal Arts Electvie, IDEAL Course Sections",Psychology,Psychology,Undergraduate,6288,C. Lange,25,103,,3,,3,,,,, $-   ,Item,Lists/Sections
^Intro to US Health Care Syst (Spring 2021 HSCI-710-DL),86138,HSCI-710-DL,4309,DL,2/26/2021 6:15,"This course is a broad survey of the various components of the U.S. health system, emphasizing the historical development of the various institutions which make up the system, and financial analysis of those institutions as they currently exist. This class will not address health care systems of countries outside the U.S.  This course will include the status and implementation of the new reform legislation at the state and federal levels and to the budgetary implications of health care spending more broadly.  There will also be a focus on the major health policy institutions and important issues that cut across institutions, including private insurers and the federal/state financing programs (Medicare and Medicaid/SCHIP). Attention also will be given to mental health issues, disparities in access to care, the quality of care, structure of the delivery system, the challenges of long-term care and the aging of the population, and the drivers of cost growth",Distance Learning-On Line,Spring 2021,1/4/2021 12:00:00 AM - 4/16/2021 12:00:00 AM,,,On-Line,ONLN,Online,Global Learning ,Health Science,Health Sciences,Graduate,5807,J. Spano,25,710,,3,,3,,,,, $-   ,Item,Lists/Sections
^Intro to US Health Care Syst (Summer 2021 HSCI-710-DL),89669,HSCI-710-DL,4309,DL,2/26/2021 6:15,"This course is a broad survey of the various components of the U.S. health system, emphasizing the historical development of the various institutions which make up the system, and financial analysis of those institutions as they currently exist. This class will not address health care systems of countries outside the U.S.  This course will include the status and implementation of the new reform legislation at the state and federal levels and to the budgetary implications of health care spending more broadly.  There will also be a focus on the major health policy institutions and important issues that cut across institutions, including private insurers and the federal/state financing programs (Medicare and Medicaid/SCHIP). Attention also will be given to mental health issues, disparities in access to care, the quality of care, structure of the delivery system, the challenges of long-term care and the aging of the population, and the drivers of cost growth",Distance Learning-On Line,Summer 2021,5/3/2021 12:00:00 AM - 8/13/2021 12:00:00 AM,,,On-Line,ONLN,Online,Global Learning ,Health Science,Health Sciences,Graduate,9268,J. Spano,25,710,,3,,3,,,,, $-   ,Item,Lists/Sections
^Intro to Western Religions (Summer 2017 WREL-103-DL),66628,WREL-103-DL,304,DL,9/14/2017 8:50,"This course offers students a comparative and historical introduction to Judaism, Christianity, and Islam. Attention is given to primary texts and rituals, historical and doctrinal development, socio-cultural setting and political impact. 3 semester hours ",Distance Learning-On Line,Summer 2017,5/30/2017 12:00:00 AM - 6/30/2017 12:00:00 AM,,,On-Line,ONLN,Online,"Humanities Elective, Liberal Arts Electvie",World Religions,World Religions,Undergraduate,8723,R. Riggs,20,103,,3,,3,,,,, $-   ,Item,Lists/Sections
^Lab Diagnosis 2: Nutrition (Health Sciences Spring 2021 ACS-626-DL),85157,ACS-626-DL,4411,DL,2/26/2021 6:15,,Distance Learning-On Line,Health Sciences Spring 2021,1/19/2021 12:00:00 AM - 5/14/2021 12:00:00 AM,,,On-Line,ONLN,Online,,Acup Clinical Services,Acupuncture Institute,Acupuncture,4826,M. Gonick,20,626,,2,,2,,,,, $-   ,Item,Lists/Sections
^Lab Diagnosis 2: Nutrition (HS Spring 2017 ACS-626-DL),64057,ACS-626-DL,4411,DL,6/13/2017 6:15,,Distance Learning-On Line,HS Spring 2017,1/9/2017 12:00:00 AM - 5/19/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Acup Clinical Services,Acupuncture Institute,Acupuncture,6245,,20,626,,2,,2,,,,, $-   ,Item,Lists/Sections
^Law & Ethics in Health Care (Summer 2017 HLAD-331-IDDL1),65177,HLAD-331-IDDL1,3933,IDDL1,4/24/2017 6:15,,Distance Learning-On Line,Summer 2017,5/8/2017 12:00:00 AM - 7/1/2017 12:00:00 AM,,,On-Line,ONLN,Online,IDEAL Course Sections,Healthcare Administration,Professional Studies,Undergraduate,7306,M. Patterson,18,331,,3,    TAKE PHIL-203;,3,,,,, $-   ,Item,Lists/Sections
^Law Enforcement & Society (Summer 2017 CJHS-271-DL),67068,CJHS-271-DL,3425,DL,9/12/2017 6:15,"This course focuses on the role of the police and law enforcement in American society.  Key topics include the police profession, organization of law enforcement systems, the police role, police discretion, ethics, and police-community interaction.  Law enforcement is examined in terms of political, social, cultural, legal, psychological, and organizational relevance in society.",Distance Learning-On Line,Summer 2017,5/8/2017 12:00:00 AM - 6/30/2017 12:00:00 AM,,,On-Line,ONLN,Online,,Criminal Justice,Criminal Justice Hum Security,Undergraduate,9152,K. Akyuz,20,271,,3,    TAKE CJHS-118 OR SOC-118;,3,,,,, $-   ,Item,Lists/Sections
^Leadership & Mgt in Nursing (Spring 2019 NURS-305-DL2A),74109,NURS-305-DL2A,4158,DL2A,1/15/2020 6:15,"Introduces the RN student to organizational theory, management, structure of nursing care delivery systems and components of leadership behavior.  This course focuses on the role of the nurse as both a formal and informal leader in multiple roles of organizing, teaching, decision making, evaluating, and managing conflict.   4 Credits",Distance Learning-On Line,Spring 2019,1/22/2019 12:00:00 AM - 5/10/2019 12:00:00 AM,,,,,Online,Global Learning ,Nursing,Nursing,Undergraduate,4194,L. Wagner,20,305,,4,,4,,,,, $-   ,Item,Lists/Sections
^Leadership & Mgt in Nursing (Spring 2021 NURS-305-DL1),86484,NURS-305-DL1,4158,DL1,2/26/2021 6:15,"Introduces the RN student to organizational theory, management, structure of nursing care delivery systems and components of leadership behavior.  This course focuses on the role of the nurse as both a formal and informal leader in multiple roles of organizing, teaching, decision making, evaluating, and managing conflict.   4 Credits",Distance Learning-On Line,Spring 2021,1/25/2021 12:00:00 AM - 3/13/2021 12:00:00 AM,,,On-Line,ONLN,Online,Global Learning ,Nursing,Nursing,Undergraduate,6153,M. Masse,20,305,,3,,3,,,,, $-   ,Item,Lists/Sections
^Leadership & Mgt in Nursing (Spring 2021 NURS-305-DL2),86486,NURS-305-DL2,4158,DL2,2/26/2021 6:15,"Introduces the RN student to organizational theory, management, structure of nursing care delivery systems and components of leadership behavior.  This course focuses on the role of the nurse as both a formal and informal leader in multiple roles of organizing, teaching, decision making, evaluating, and managing conflict.   4 Credits",Distance Learning-On Line,Spring 2021,3/15/2021 12:00:00 AM - 5/1/2021 12:00:00 AM,,,On-Line,ONLN,Online,Global Learning ,Nursing,Nursing,Undergraduate,6155,M. Masse,20,305,,3,,3,,,,, $-   ,Item,Lists/Sections
